type,model,dataset,transformation,pcp
correct,code2vec,JS,VN,33.74
correct,code2vec,JS,BX,15.71
correct,code2vec,JS,LX,28.36
correct,code2vec,JS,SF,42.86
correct,code2vec,JS,PS,22.59
correct,code2vec,JS,UN,17.63
correct,code2vec,JM,VN,27.08
correct,code2vec,JM,BX,12.29
correct,code2vec,JM,LX,25.02
correct,code2vec,JM,SF,34.95
correct,code2vec,JM,PS,27.20
correct,code2vec,JM,UN,16.06
correct,code2vec,JL,VN,17.41
correct,code2vec,JL,BX,15.57
correct,code2vec,JL,LX,13.15
correct,code2vec,JL,SF,10.45
correct,code2vec,JL,PS,37.43
correct,code2vec,JL,UN,13.37
incorrect,code2vec,JS,VN,55.69
incorrect,code2vec,JS,BX,55.69
incorrect,code2vec,JS,LX,60.21
incorrect,code2vec,JS,SF,69.44
incorrect,code2vec,JS,PS,76.00
incorrect,code2vec,JS,UN,42.39
incorrect,code2vec,JM,VN,48.80
incorrect,code2vec,JM,BX,56.83
incorrect,code2vec,JM,LX,66.42
incorrect,code2vec,JM,SF,65.07
incorrect,code2vec,JM,PS,72.64
incorrect,code2vec,JM,UN,40.78
incorrect,code2vec,JL,VN,47.70
incorrect,code2vec,JL,BX,52.80
incorrect,code2vec,JL,LX,56.38
incorrect,code2vec,JL,SF,53.61
incorrect,code2vec,JL,PS,70.21
incorrect,code2vec,JL,UN,38.18
correct,code2seq,JS,VN,30.50
correct,code2seq,JS,BX,36.11
correct,code2seq,JS,LX,14.79
correct,code2seq,JS,SF,36.36
correct,code2seq,JS,PS,24.38
correct,code2seq,JS,UN,23.50
correct,code2seq,JM,VN,29.29
correct,code2seq,JM,BX,12.09
correct,code2seq,JM,LX,18.35
correct,code2seq,JM,SF,14.12
correct,code2seq,JM,PS,09.72
correct,code2seq,JM,UN,19.48
correct,code2seq,JL,VN,24.39
correct,code2seq,JL,BX,22.33
correct,code2seq,JL,LX,11.67
correct,code2seq,JL,SF,09.19
correct,code2seq,JL,PS,13.96
correct,code2seq,JL,UN,18.29
incorrect,code2seq,JS,VN,58.68
incorrect,code2seq,JS,BX,55.71
incorrect,code2seq,JS,LX,54.52
incorrect,code2seq,JS,SF,62.90
incorrect,code2seq,JS,PS,59.14
incorrect,code2seq,JS,UN,49.08
incorrect,code2seq,JM,VN,51.73
incorrect,code2seq,JM,BX,50.83
incorrect,code2seq,JM,LX,48.07
incorrect,code2seq,JM,SF,48.83
incorrect,code2seq,JM,PS,48.96
incorrect,code2seq,JM,UN,47.85
incorrect,code2seq,JL,VN,52.43
incorrect,code2seq,JL,BX,55.80
incorrect,code2seq,JL,LX,50.89
incorrect,code2seq,JL,SF,56.02
incorrect,code2seq,JL,PS,47.07
incorrect,code2seq,JL,UN,46.66
correct,ggnn,JS,VN,03.63
correct,ggnn,JS,BX,01.90
correct,ggnn,JS,LX,05.19
correct,ggnn,JS,SF,05.71
correct,ggnn,JS,UN,03.76
correct,ggnn,JS,PS,04.52
correct,ggnn,JM,VN,05.49
correct,ggnn,JM,BX,03.48
correct,ggnn,JM,LX,04.95
correct,ggnn,JM,SF,08.58
correct,ggnn,JM,UN,06.80
correct,ggnn,JM,PS,04.10
correct,ggnn,JL,VN,05.04
correct,ggnn,JL,BX,05.34
correct,ggnn,JL,LX,02.08
correct,ggnn,JL,SF,02.87
correct,ggnn,JL,UN,05.06
correct,ggnn,JL,PS,05.48
incorrect,ggnn,JS,VN,32.96
incorrect,ggnn,JS,BX,37.43
incorrect,ggnn,JS,LX,37.13
incorrect,ggnn,JS,SF,41.57
incorrect,ggnn,JS,UN,35.18
incorrect,ggnn,JS,PS,31.05
incorrect,ggnn,JM,VN,44.34
incorrect,ggnn,JM,BX,46.01
incorrect,ggnn,JM,LX,45.63
incorrect,ggnn,JM,SF,62.01
incorrect,ggnn,JM,UN,56.04
incorrect,ggnn,JM,PS,44.94
incorrect,ggnn,JL,VN,36.80
incorrect,ggnn,JL,BX,36.58
incorrect,ggnn,JL,LX,36.41
incorrect,ggnn,JL,SF,50.01
incorrect,ggnn,JL,UN,45.06
incorrect,ggnn,JL,PS,32.60
