model,transformation,dataset,percentage,n_programs,PCP
code2seq,BX,JL,25,642,59.03
code2seq,BX,JL,50,642,62.76
code2seq,BX,JL,75,642,62.03
code2seq,BX,JM,25,428,48.20
code2seq,BX,JM,50,428,48.60
code2seq,BX,JM,75,428,47.49
code2seq,BX,JS,25,75,63.00
code2seq,BX,JS,50,75,64.67
code2seq,BX,JS,75,75,64.66
code2seq,LX,JL,25,2899,56.00
code2seq,LX,JL,50,2899,56.79
code2seq,LX,JL,75,2899,56.92
code2seq,LX,JM,25,1292,55.11
code2seq,LX,JM,50,1292,57.37
code2seq,LX,JM,75,1292,57.62
code2seq,LX,JS,25,302,65.90
code2seq,LX,JS,50,302,65.98
code2seq,LX,JS,75,302,65.56
code2seq,SF,JL,25,125,56.00
code2seq,SF,JL,50,125,56.40
code2seq,SF,JL,75,125,56.60
code2seq,SF,JM,25,98,43.62
code2seq,SF,JM,50,98,44.90
code2seq,SF,JM,75,98,45.16
code2seq,SF,JS,25,0,-1.0
code2seq,SF,JS,50,0,-1.0
code2seq,SF,JS,75,0,-1.0
code2seq,VN,JL,25,114748,43.23
code2seq,VN,JL,50,114748,53.99
code2seq,VN,JL,75,114748,58.83
code2seq,VN,JM,25,101003,46.51
code2seq,VN,JM,50,101003,57.77
code2seq,VN,JM,75,101003,63.20
code2seq,VN,JS,25,15937,54.36
code2seq,VN,JS,50,15937,65.89
code2seq,VN,JS,75,15937,70.57
code2vec,BX,JL,25,642,71.81
code2vec,BX,JL,50,642,71.09
code2vec,BX,JL,75,642,71.93
code2vec,BX,JM,25,428,69.66
code2vec,BX,JM,50,428,70.50
code2vec,BX,JM,75,428,70.91
code2vec,BX,JS,25,75,80.00
code2vec,BX,JS,50,75,79.67
code2vec,BX,JS,75,75,79.66
code2vec,LX,JL,25,2899,79.77
code2vec,LX,JL,50,2899,79.02
code2vec,LX,JL,75,2899,78.57
code2vec,LX,JM,25,1292,86.01
code2vec,LX,JM,50,1292,86.11
code2vec,LX,JM,75,1292,85.37
code2vec,LX,JS,25,302,81.95
code2vec,LX,JS,50,302,81.87
code2vec,LX,JS,75,302,81.38
code2vec,SF,JL,25,125,69.00
code2vec,SF,JL,50,125,73.60
code2vec,SF,JL,75,125,73.60
code2vec,SF,JM,25,98,82.91
code2vec,SF,JM,50,98,84.44
code2vec,SF,JM,75,98,89.03
code2vec,SF,JS,25,0,-1.0
code2vec,SF,JS,50,0,-1.0
code2vec,SF,JS,75,0,-1.0
code2vec,VN,JL,25,114748,45.62
code2vec,VN,JL,50,114748,53.32
code2vec,VN,JL,75,114748,56.98
code2vec,VN,JM,25,101003,54.07
code2vec,VN,JM,50,101003,62.65
code2vec,VN,JM,75,101003,66.51
code2vec,VN,JS,25,15937,63.29
code2vec,VN,JS,50,15937,71.88
code2vec,VN,JS,75,15937,75.18
