model,dataset,transformation,pcp5,pcp10,pcp15,pcp20,pcp25,pcp50,pcp100,pcp1k,pcp
code2vec,JS,VN,52.57,40.17,43.96,52.54,59.77,67.90,73.73,62.44,54.92
code2vec,JS,BX,35.29,25.15,40.20,43.37,57.24,63.50,70.61,60.92,53.85
code2vec,JS,LX,53.10,44.32,46.25,54.13,57.11,69.20,74.96,75.46,59.38
code2vec,JS,SF,50.00,68.29,53.33,55.56,76.19,77.05,88.89,80.00,68.73
code2vec,JS,PS,22.27,42.77,62.84,73.34,72.99,77.29,88.48,75.39,72.80
code2vec,JS,UN,41.60,25.84,33.94,45.24,53.91,63.28,69.46,67.71,39.97
code2vec,JM,VN,46.84,29.74,35.19,44.53,52.20,61.85,71.17,76.46,46.55
code2vec,JM,BX,44.38,31.63,30.24,37.51,49.10,58.01,66.78,74.47,50.35
code2vec,JM,LX,69.85,60.39,52.87,54.15,60.50,67.47,73.92,81.85,62.77
code2vec,JM,SF,46.69,55.36,56.02,54.87,57.78,63.74,72.90,79.63,59.91
code2vec,JM,PS,25.88,28.13,42.77,48.59,64.45,77.21,90.58,93.14,65.44
code2vec,JM,UN,37.56,22.72,29.73,38.83,47.48,56.75,67.04,74.51,35.80
code2vec,JL,VN,38.63,24.20,28.94,36.99,45.03,55.43,66.64,67.41,42.06
code2vec,JL,BX,33.54,26.27,28.34,30.67,40.43,52.08,66.46,68.05,47.80
code2vec,JL,LX,47.90,39.02,31.04,34.81,41.85,53.81,65.49,64.46,46.52
code2vec,JL,SF,34.42,21.83,15.05,14.58,24.37,39.63,49.26,62.20,30.33
code2vec,JL,PS,13.14,19.63,35.78,52.29,54.20,70.58,79.49,90.59,64.38
code2vec,JL,UN,34.07,16.61,21.57,30.24,38.20,49.17,59.98,62.84,31.21
code2seq,JS,VN,48.09,45.04,52.50,60.90,63.95,67.11,69.81,69.16,57.16
code2seq,JS,BX,29.41,38.92,36.18,50.60,61.84,59.96,68.32,57.47,54.31
code2seq,JS,LX,29.66,28.74,40.70,50.73,56.48,64.85,67.58,70.55,52.54
code2seq,JS,SF,42.86,46.34,48.89,63.89,80.95,73.77,69.44,60.00,61.78
code2seq,JS,PS,20.59,28.05,42.05,56.82,60.61,64.11,69.66,57.98,57.32
code2seq,JS,UN,45.17,35.53,44.81,54.19,59.69,63.36,70.04,69.79,45.60
code2seq,JM,VN,45.36,39.55,45.64,50.95,54.06,57.97,61.27,58.07,48.75
code2seq,JM,BX,35.39,34.59,33.01,39.25,45.91,50.45,52.64,53.85,44.71
code2seq,JM,LX,31.86,30.24,35.76,43.69,47.57,54.58,57.69,61.07,45.29
code2seq,JM,SF,27.48,34.04,34.44,42.70,46.11,51.19,45.79,46.30,41.60
code2seq,JM,PS,08.57,17.88,30.56,37.64,44.67,53.76,60.71,38.35,42.64
code2seq,JM,UN,40.14,33.76,39.39,45.86,50.21,54.93,58.38,57.31,40.25
code2seq,JL,VN,43.05,36.68,41.12,45.84,48.62,54.24,60.19,65.58,47.04
code2seq,JL,BX,37.97,42.92,40.39,41.28,49.95,52.65,60.23,64.41,51.43
code2seq,JL,LX,37.90,30.59,32.37,35.13,39.78,48.04,57.17,63.89,42.51
code2seq,JL,SF,28.84,23.53,16.57,18.32,21.16,35.16,47.95,54.47,29.08
code2seq,JL,PS,14.32,14.67,27.75,36.82,40.64,47.76,49.57,51.94,41.93
code2seq,JL,UN,37.65,30.64,35.53,40.00,43.34,49.32,55.16,56.52,37.44
ggnn,JS,VN,29.51,28.46,28.80,29.99,30.27,27.41,19.52,07.78,28.17
ggnn,JS,BX,23.53,29.34,33.17,32.53,36.18,29.05,19.43,44.44,29.37
ggnn,JS,LX,20.00,35.55,34.63,34.04,34.39,31.13,20.96,00.00,31.66
ggnn,JS,SF,71.43,39.02,17.78,36.11,15.00,24.59,41.94,00.00,31.45
ggnn,JS,UN,28.65,27.74,28.12,28.87,31.31,27.15,21.33,00.00,28.34
ggnn,JS,PS,16.81,22.04,21.48,26.90,35.44,29.21,22.41,10.64,26.36
ggnn,JM,VN,40.05,39.42,37.30,35.08,33.60,29.44,24.62,25.47,35.96
ggnn,JM,BX,41.57,43.58,38.09,36.81,35.92,31.57,19.33,25.71,33.74
ggnn,JM,LX,45.73,45.81,43.18,39.99,37.27,28.80,22.30,37.14,36.67
ggnn,JM,SF,37.75,44.64,42.74,49.11,43.41,47.05,33.33,50.00,43.73
ggnn,JM,UN,46.48,39.30,36.00,35.03,32.98,29.54,24.01,17.50,42.79
ggnn,JM,PS,32.16,25.22,27.04,32.46,33.93,28.98,49.78,27.87,34.09
ggnn,JL,VN,34.56,33.69,32.13,31.84,31.88,29.37,27.01,23.57,31.92
ggnn,JL,BX,40.74,35.98,32.98,28.22,35.19,31.23,27.86,28.87,31.98
ggnn,JL,LX,36.52,34.44,33.38,33.75,32.04,29.80,26.80,20.81,31.75
ggnn,JL,SF,43.27,47.62,42.11,46.39,52.28,45.48,41.11,30.61,45.50
ggnn,JL,UN,36.25,36.01,34.57,34.58,33.83,32.44,31.02,24.18,35.67
ggnn,JL,PS,22.51,23.85,27.02,26.70,27.77,27.69,25.63,18.18,26.32
