dataset,transformation,CCP_c2v,CCP_c2s,CCP_ggnn,CWP_c2v,CWP_c2s,CWP_ggnn,WWSP_c2v,WWSP_c2s,WWSP_ggnn,WCP_c2v,WCP_c2s,WCP_ggnn,WWDP_c2v,WWDP_c2s,WWDP_ggnn
JS,VN,02.32,03.75,15.76,01.18,01.65,00.59,42.76,39.09,56.08,00.57,01.21,00.54,53.17,54.30,27.03
JS,BX,03.88,04.54,22.25,00.72,02.57,00.43,42.26,41.15,48.38,01.38,01.65,00.58,51.76,50.09,28.36
JS,LX,01.86,04.24,16.23,00.74,00.74,00.89,38.76,43.22,52.11,00.72,01.10,00.62,57.92,50.70,30.15
JS,SF,01.54,02.70,26.61,01.16,01.54,01.61,29.73,35.52,41.94,00.00,01.93,00.40,67.57,58.31,29.44
JS,PS,04.64,03.96,16.86,01.35,01.28,00.80,22.57,38.72,56.78,01.93,01.27,00.27,69.51,54.77,25.29
JS,UN,08.08,10.40,20.97,01.73,03.20,00.82,51.96,44.00,50.69,00.60,01.40,00.79,37.63,41.00,26.73
JM,VN,07.56,09.41,20.39,02.81,03.90,01.18,45.89,41.85,43.65,00.80,01.54,01.22,42.94,43.30,33.56
JM,BX,12.76,13.90,27.83,01.79,01.91,01.00,36.89,41.39,38.42,01.45,01.97,01.03,47.11,40.83,31.72
JM,LX,06.61,07.62,20.93,02.21,01.71,01.09,30.62,47.09,42.40,01.22,01.33,01.23,59.34,42.25,34.35
JM,SF,11.15,17.90,31.28,05.99,02.94,02.93,28.94,40.51,24.99,02.45,02.27,01.85,51.47,36.38,38.95
JM,PS,11.53,14.55,25.47,04.31,01.57,01.09,23.03,42.81,40.44,02.05,01.57,01.29,59.08,39.50,31.71
JM,UN,16.90,21.58,25.07,03.24,05.22,01.83,47.30,38.18,32.13,00.79,01.41,01.67,31.77,33.61,39.30
JL,VN,15.40,14.54,14.57,03.25,04.69,00.77,42.55,38.42,53.51,01.40,02.32,01.13,37.40,40.03,30.02
JL,BX,11.33,10.14,13.97,02.09,02.92,00.79,40.87,38.42,54.06,02.00,02.92,01.13,43.71,45.60,30.05
JL,LX,19.81,18.87,13.29,03.00,02.49,00.28,33.67,38.62,54.96,02.13,02.30,01.13,41.39,37.72,30.34
JL,SF,48.30,52.23,09.30,05.63,05.28,00.27,21.37,18.68,45.20,04.09,02.80,00.68,20.61,21.01,44.55
JL,PS,11.13,13.35,21.89,06.66,02.17,01.27,24.49,44.72,51.79,02.89,02.82,00.96,54.83,36.94,24.09
JL,UN,24.31,26.57,22.28,03.75,05.95,01.19,44.47,35.99,42.05,00.85,01.81,01.24,26.62,29.68,33.24
