dataset,transformation,original,transformed,pcp_c2v,pcp_c2s,pcp_ggnn
JS,VN,31113,123123,54.92,57.16,28.17
JS,BX,1158,1519,53.85,54.31,29.37
JS,LX,3699,5160,59.38,52.54,31.66
JS,SF,246,259,68.73,61.78,31.45
JS,PS,3397,9169,72.80,57.32,26.36
JS,UN,44426,44426,39.97,45.60,28.34
JM,VN,235961,771208,46.55,48.75,35.96
JM,BX,6407,8840,50.35,44.71,33.74
JM,LX,17107,23533,62.77,45.29,36.67
JM,SF,3312,3839,59.91,41.60,43.73
JM,PS,16150,44711,65.44,42.64,34.09
JM,UN,351621,351621,35.80,40.25,42.79
JL,VN,252725,916565,42.06,47.04,31.92
JL,BX,8868,12107,47.80,51.43,31.98
JL,LX,35565,49665,46.52,42.51,31.75
JL,SF,10478,11165,30.33,29.08,45.50
JL,PS,21956,74973,64.38,41.93,26.32
JL,UN,370927,370927,31.21,37.44,35.67
